0,682.5,2026-03-09 20:53:52.706342
4,0.0,2026-03-09 20:53:52.710376
140,0.0,2026-03-09 20:53:52.716408
148,0.0,2026-03-09 20:53:52.716571
180,0.0,2026-03-09 20:53:52.724214
204,0.0,2026-03-09 20:53:52.725322
332,0.0,2026-03-09 20:53:52.725450
476,0.0,2026-03-09 20:53:52.726602
648,0.0,2026-03-09 20:53:52.734598
680,0.0,2026-03-09 20:53:52.739840
1040,0.0,2026-03-09 20:53:52.747612
1060,0.0,2026-03-09 20:53:52.748194
1084,0.0,2026-03-09 20:53:52.751898
1136,0.0,2026-03-09 20:53:52.752380
1180,0.0,2026-03-09 20:53:52.761197
1204,0.0,2026-03-09 20:53:52.766193
1216,0.0,2026-03-09 20:53:52.770169
1352,0.0,2026-03-09 20:53:52.808024
1380,0.0,2026-03-09 20:53:52.808172
1472,0.0,2026-03-09 20:53:52.808304
1520,0.0,2026-03-09 20:53:52.808563
1568,0.0,2026-03-09 20:53:52.808946
1644,0.0,2026-03-09 20:53:52.809003
1656,0.0,2026-03-09 20:53:52.812963
1716,0.0,2026-03-09 20:53:52.828191
1736,0.0,2026-03-09 20:53:52.835870
1748,0.0,2026-03-09 20:53:52.853176
1788,0.0,2026-03-09 20:53:52.874301
1824,0.0,2026-03-09 20:53:52.890894
1832,30.8,2026-03-09 20:53:52.891036
1836,0.0,2026-03-09 20:53:52.905536
1888,0.0,2026-03-09 20:53:52.918955
1892,0.0,2026-03-09 20:53:52.922706
1944,0.0,2026-03-09 20:53:52.936172
1972,0.0,2026-03-09 20:53:52.936897
2004,0.0,2026-03-09 20:53:52.937011
2024,0.0,2026-03-09 20:53:52.978358
2188,0.0,2026-03-09 20:53:52.984039
2016,0.0,2026-03-09 20:53:52.984545
2200,0.0,2026-03-09 20:53:52.995856
2208,0.0,2026-03-09 20:53:53.006915
2252,0.0,2026-03-09 20:53:53.016406
2228,0.0,2026-03-09 20:53:53.020819
2332,0.0,2026-03-09 20:53:53.021085
2388,0.0,2026-03-09 20:53:53.031186
2396,0.0,2026-03-09 20:53:53.035252
2412,0.0,2026-03-09 20:53:53.051151
2488,0.0,2026-03-09 20:53:53.099652
2500,0.0,2026-03-09 20:53:53.105610
2616,0.0,2026-03-09 20:53:53.131401
2640,0.0,2026-03-09 20:53:53.132043
