4932,svchost.exe,2026-03-09 20:53:53.515923
4972,SecurityHealthSystray.exe,2026-03-09 20:53:53.521257
4996,svchost.exe,2026-03-09 20:53:53.522598
5136,ibmpmsvc.exe,2026-03-09 20:53:53.528819
5156,MsMpEng.exe,2026-03-09 20:53:53.538558
5196,TbtP2pShortcutService.exe,2026-03-09 20:53:53.544406
5220,msedgewebview2.exe,2026-03-09 20:53:53.550472
5224,GoodixSessionService.exe,2026-03-09 20:53:53.552108
5388,tphkload.exe,2026-03-09 20:53:53.561754
5396,IntelAudioService.exe,2026-03-09 20:53:53.575443
5444,WMIRegistrationService.exe,2026-03-09 20:53:53.585856
5460,LMS.exe,2026-03-09 20:53:53.591285
5520,jhi_service.exe,2026-03-09 20:53:53.601273
5592,steamservice.exe,2026-03-09 20:53:53.606999
5612,chrome.exe,2026-03-09 20:53:53.620942
5656,svchost.exe,2026-03-09 20:53:53.626977
5748,CrossDeviceResume.exe,2026-03-09 20:53:53.640893
5824,svchost.exe,2026-03-09 20:53:53.642474
6068,svchost.exe,2026-03-09 20:53:53.656402
6240,SynTPEnh.exe,2026-03-09 20:53:53.663664
6276,Code.exe,2026-03-09 20:53:53.665285
6288,svchost.exe,2026-03-09 20:53:53.666927
6292,svchost.exe,2026-03-09 20:53:53.701528
6360,IntelGraphicsSoftware.Service.exe,2026-03-09 20:53:53.736475
6668,msedgewebview2.exe,2026-03-09 20:53:53.742483
6680,chrome.exe,2026-03-09 20:53:53.744219
6692,SearchIndexer.exe,2026-03-09 20:53:53.746793
6732,msedgewebview2.exe,2026-03-09 20:53:53.756731
6944,wlanext.exe,2026-03-09 20:53:53.759121
7060,Code.exe,2026-03-09 20:53:53.765301
7068,chrome.exe,2026-03-09 20:53:53.767182
7112,AppActions.exe,2026-03-09 20:53:53.769033
7208,conhost.exe,2026-03-09 20:53:53.771230
7300,AggregatorHost.exe,2026-03-09 20:53:53.773458
7448,NisSrv.exe,2026-03-09 20:53:53.779942
7524,svchost.exe,2026-03-09 20:53:53.789804
7672,svchost.exe,2026-03-09 20:53:53.797478
7720,svchost.exe,2026-03-09 20:53:53.803945
7764,RuntimeBroker.exe,2026-03-09 20:53:53.809995
7948,PresentMonService.exe,2026-03-09 20:53:53.812541
7956,conhost.exe,2026-03-09 20:53:53.818299
8064,msedgewebview2.exe,2026-03-09 20:53:53.825301
8148,msedgewebview2.exe,2026-03-09 20:53:53.827289
8292,PowerMgr.exe,2026-03-09 20:53:53.828990
8372,chrome.exe,2026-03-09 20:53:53.830892
8468,backgroundTaskHost.exe,2026-03-09 20:53:53.837587
8672,svchost.exe,2026-03-09 20:53:53.839368
8728,steamwebhelper.exe,2026-03-09 20:53:53.850568
8756,chrome.exe,2026-03-09 20:53:53.853128
8820,svchost.exe,2026-03-09 20:53:53.854890
8836,Discord.exe,2026-03-09 20:53:53.865861
8860,svchost.exe,2026-03-09 20:53:53.872184
8892,msedgewebview2.exe,2026-03-09 20:53:53.873693
9124,PhoneExperienceHost.exe,2026-03-09 20:53:53.875475
9212,steam.exe,2026-03-09 20:53:53.876944
9304,svchost.exe,2026-03-09 20:53:53.879210
9408,backgroundTaskHost.exe,2026-03-09 20:53:53.888933
9508,svchost.exe,2026-03-09 20:53:53.894596
9672,chrome.exe,2026-03-09 20:53:53.904345
9740,svchost.exe,2026-03-09 20:53:53.914973
9824,steamwebhelper.exe,2026-03-09 20:53:53.924112
9996,svchost.exe,2026-03-09 20:53:53.931047
10100,backgroundTaskHost.exe,2026-03-09 20:53:53.936938
10252,dllhost.exe,2026-03-09 20:53:53.938667
10440,msedgewebview2.exe,2026-03-09 20:53:53.940460
10648,svchost.exe,2026-03-09 20:53:53.942126
10708,svchost.exe,2026-03-09 20:53:53.944141
10740,svchost.exe,2026-03-09 20:53:53.953954
10756,steamwebhelper.exe,2026-03-09 20:53:53.959544
10864,svchost.exe,2026-03-09 20:53:53.965693
11080,chrome.exe,2026-03-09 20:53:53.972038
11096,svchost.exe,2026-03-09 20:53:53.974111
11124,svchost.exe,2026-03-09 20:53:53.981732
11148,chrome.exe,2026-03-09 20:53:53.987827
11260,Code.exe,2026-03-09 20:53:53.994374
11272,chrome.exe,2026-03-09 20:53:53.996607
11504,msedgewebview2.exe,2026-03-09 20:53:53.998290
11600,Discord.exe,2026-03-09 20:53:54.004574
11752,svchost.exe,2026-03-09 20:53:54.006873
11768,WidgetService.exe,2026-03-09 20:53:54.014520
11780,cmd.exe,2026-03-09 20:53:54.016554
11808,MidiSrv.exe,2026-03-09 20:53:54.018760
12080,chrome.exe,2026-03-09 20:53:54.030263
12232,conhost.exe,2026-03-09 20:53:54.032322
12248,chrome.exe,2026-03-09 20:53:54.034320
12892,RuntimeBroker.exe,2026-03-09 20:53:54.036484
12916,svchost.exe,2026-03-09 20:53:54.043458
12936,svchost.exe,2026-03-09 20:53:54.053933
12964,steamwebhelper.exe,2026-03-09 20:53:54.065040
13004,svchost.exe,2026-03-09 20:53:54.067573
13024,chrome.exe,2026-03-09 20:53:54.078674
13072,backgroundTaskHost.exe,2026-03-09 20:53:54.081210
13156,SecurityHealthService.exe,2026-03-09 20:53:54.087673
13504,Widgets.exe,2026-03-09 20:53:54.098202
13512,Discord.exe,2026-03-09 20:53:54.100328
13516,svchost.exe,2026-03-09 20:53:54.102267
14132,Discord.exe,2026-03-09 20:53:54.108877
14184,Discord.exe,2026-03-09 20:53:54.110835
14292,chrome.exe,2026-03-09 20:53:54.112807
14616,pet.exe,2026-03-09 20:53:54.119687
14788,chrome.exe,2026-03-09 20:53:54.121639
14824,chrome.exe,2026-03-09 20:53:54.123514
14872,DiscordSystemHelper.exe,2026-03-09 20:53:54.125717
14948,chrome.exe,2026-03-09 20:53:54.127849
14960,backgroundTaskHost.exe,2026-03-09 20:53:54.129693
15064,svchost.exe,2026-03-09 20:53:54.136993
15148,pacjsworker.exe,2026-03-09 20:53:54.143016
15172,RuntimeBroker.exe,2026-03-09 20:53:54.153722
15280,svchost.exe,2026-03-09 20:53:54.155837
15472,sihost.exe,2026-03-09 20:53:54.166875
15484,dwm.exe,2026-03-09 20:53:54.169062
15636,chrome.exe,2026-03-09 20:53:54.175104
15708,OpenConsole.exe,2026-03-09 20:53:54.177359
15732,svchost.exe,2026-03-09 20:53:54.188268
15876,msedgewebview2.exe,2026-03-09 20:53:54.191243
15896,svchost.exe,2026-03-09 20:53:54.194149
15912,tposd.exe,2026-03-09 20:53:54.197363
16144,svchost.exe,2026-03-09 20:53:54.218486
16272,Discord.exe,2026-03-09 20:53:54.222208
16372,csrss.exe,2026-03-09 20:53:54.226010
16468,backgroundTaskHost.exe,2026-03-09 20:53:54.238426
16616,steamwebhelper.exe,2026-03-09 20:53:54.242611
16672,svchost.exe,2026-03-09 20:53:54.262027
16720,cmd.exe,2026-03-09 20:53:54.265157
16772,chrome.exe,2026-03-09 20:53:54.286982
17020,StartMenuExperienceHost.exe,2026-03-09 20:53:54.290379
17108,Code.exe,2026-03-09 20:53:54.293528
17460,svchost.exe,2026-03-09 20:53:54.297789
18020,Code.exe,2026-03-09 20:53:54.309972
18032,taskhostw.exe,2026-03-09 20:53:54.313037
18088,fontdrvhost.exe,2026-03-09 20:53:54.316790
18176,RtkAudUService64.exe,2026-03-09 20:53:54.328414
18368,backgroundTaskHost.exe,2026-03-09 20:53:54.349601
18404,WmiPrvSE.exe,2026-03-09 20:53:54.354418
18504,Code.exe,2026-03-09 20:53:54.364981
18628,backgroundTaskHost.exe,2026-03-09 20:53:54.367520
18704,chrome.exe,2026-03-09 20:53:54.369368
18952,CrossDeviceService.exe,2026-03-09 20:53:54.372444
18984,steamwebhelper.exe,2026-03-09 20:53:54.375569
19036,backgroundTaskHost.exe,2026-03-09 20:53:54.378257
19220,SynTPHelper.exe,2026-03-09 20:53:54.380124
19268,igfxEMN.exe,2026-03-09 20:53:54.381873
19280,LSB.exe,2026-03-09 20:53:54.384736
19284,winlogon.exe,2026-03-09 20:53:54.388088
19312,Code.exe,2026-03-09 20:53:54.399381
19336,msedgewebview2.exe,2026-03-09 20:53:54.403256
19396,ShellExperienceHost.exe,2026-03-09 20:53:54.406792
19436,SearchHost.exe,2026-03-09 20:53:54.418690
19560,chrome.exe,2026-03-09 20:53:54.423667
19912,powershell.exe,2026-03-09 20:53:54.460293
20244,chrome.exe,2026-03-09 20:53:54.461277
20256,Code.exe,2026-03-09 20:53:54.461522
20352,ShellHost.exe,2026-03-09 20:53:54.462296
20852,backgroundTaskHost.exe,2026-03-09 20:53:54.463016
20976,chrome.exe,2026-03-09 20:53:54.464306
21324,OpenConsole.exe,2026-03-09 20:53:54.479910
21332,svchost.exe,2026-03-09 20:53:54.483469
21524,Code.exe,2026-03-09 20:53:54.486864
21560,svchost.exe,2026-03-09 20:53:54.490753
21596,backgroundTaskHost.exe,2026-03-09 20:53:54.512333
21724,Code.exe,2026-03-09 20:53:54.520048
22012,WindowsTerminal.exe,2026-03-09 20:53:54.523536
22052,chrome.exe,2026-03-09 20:53:54.527892
